DATE	VISITING TEAM	HOME TEAM	TIME	NETWORK/RESULT
Wed Oct 8, 2014	Montréal	Toronto	7:00 PM ET	TVA Sports,SN
Wed Oct 8, 2014	Philadelphia	Boston	7:30 PM ET	NBCSN
Wed Oct 8, 2014	Vancouver	Calgary	10:00 PM ET	SN,TVA Sports 2
Wed Oct 8, 2014	San Jose	Los Angeles	10:00 PM ET	NBCSN,SN1
Thu Oct 9, 2014	Columbus	Buffalo	7:00 PM ET	FS-O
Thu Oct 9, 2014	New Jersey	Philadelphia	7:00 PM ET	CSN-PH
Thu Oct 9, 2014	Anaheim	Pittsburgh	7:00 PM ET	ROOT
Thu Oct 9, 2014	Montréal	Washington	7:00 PM ET	SN360,RDS,CSN-DC
Thu Oct 9, 2014	Boston	Detroit	7:30 PM ET	TVA Sports 2,NESN,FS-D
Thu Oct 9, 2014	Florida	Tampa Bay	7:30 PM ET	FS-F,SUN
Thu Oct 9, 2014	NY Rangers	St. Louis	8:00 PM ET	
Thu Oct 9, 2014	Ottawa	Nashville	8:00 PM ET	RDS2,TSN5
Thu Oct 9, 2014	Chicago	Dallas	8:30 PM ET	CSN-CH
Thu Oct 9, 2014	Colorado	Minnesota	9:00 PM ET	NBCSN
Thu Oct 9, 2014	Calgary	Edmonton	9:30 PM ET	SN360
Thu Oct 9, 2014	Winnipeg	Arizona	10:00 PM ET	TSN3,FS-A
Fri Oct 10, 2014	NY Islanders	Carolina	7:00 PM ET	
Sat Oct 11, 2014	Washington	Boston	7:00 PM ET	FX-CA,CSN-DC,NESN
Sat Oct 11, 2014	Pittsburgh	Toronto	7:00 PM ET	CBC,NHLN-US,ROOT
Sat Oct 11, 2014	Anaheim	Detroit	7:00 PM ET	FS-D
Sat Oct 11, 2014	Ottawa	Tampa Bay	7:00 PM ET	SN1,SUN
Sat Oct 11, 2014	New Jersey	Florida	7:00 PM ET	FS-F
Sat Oct 11, 2014	Carolina	NY Islanders	7:00 PM ET	
Sat Oct 11, 2014	Montréal	Philadelphia	7:00 PM ET	CITY TV,TVA Sports,CSN-PH
Sat Oct 11, 2014	NY Rangers	Columbus	7:00 PM ET	FS-O
Sat Oct 11, 2014	Calgary	St. Louis	7:00 PM ET	SN360
Sat Oct 11, 2014	Dallas	Nashville	8:00 PM ET	
Sat Oct 11, 2014	Buffalo	Chicago	8:30 PM ET	CSN-CH
Sat Oct 11, 2014	Minnesota	Colorado	9:00 PM ET	FS-N,ALT
Sat Oct 11, 2014	Los Angeles	Arizona	9:00 PM ET	FS-A
Sat Oct 11, 2014	Edmonton	Vancouver	10:00 PM ET	CBC,TVA Sports 2
Sat Oct 11, 2014	Winnipeg	San Jose	10:00 PM ET	SN,CSN-CA
Sun Oct 12, 2014	Toronto	NY Rangers	7:00 PM ET	NHLN-US,CITY TV,TVA Sports
Sun Oct 12, 2014	Winnipeg	Los Angeles	10:00 PM ET	TSN3
Mon Oct 13, 2014	Colorado	Boston	1:00 PM ET	TVA Sports,ALT,NESN
Mon Oct 13, 2014	Anaheim	Buffalo	3:00 PM ET	
Mon Oct 13, 2014	Ottawa	Florida	7:30 PM ET	RDSI,TSN5,FS-F
Mon Oct 13, 2014	Montréal	Tampa Bay	7:30 PM ET	RDS,CITYM,SUN
Tue Oct 14, 2014	NY Islanders	NY Rangers	7:00 PM ET	
Tue Oct 14, 2014	Anaheim	Philadelphia	7:00 PM ET	CSN-PH
Tue Oct 14, 2014	San Jose	Washington	7:00 PM ET	CSN-CA,CSN-DC
Tue Oct 14, 2014	Dallas	Columbus	7:00 PM ET	FS-O
Tue Oct 14, 2014	Buffalo	Carolina	7:30 PM ET	NBCSN
Tue Oct 14, 2014	Colorado	Toronto	7:30 PM ET	TVA Sports,ALT,TSN4
Tue Oct 14, 2014	New Jersey	Tampa Bay	7:30 PM ET	SUN
Tue Oct 14, 2014	Calgary	Nashville	8:00 PM ET	SN360
Tue Oct 14, 2014	Edmonton	Los Angeles	10:30 PM ET	SN360
Wed Oct 15, 2014	Boston	Detroit	8:00 PM ET	NBCSN,TVA Sports,SN1
Wed Oct 15, 2014	Calgary	Chicago	8:00 PM ET	SN,CSN-CH
Wed Oct 15, 2014	Edmonton	Arizona	10:30 PM ET	SNW,FS-A
Thu Oct 16, 2014	San Jose	NY Islanders	7:00 PM ET	CSN-CA
Thu Oct 16, 2014	Dallas	Pittsburgh	7:00 PM ET	TVA Sports 2,ROOT
Thu Oct 16, 2014	New Jersey	Washington	7:00 PM ET	CSN-DC
Thu Oct 16, 2014	Carolina	NY Rangers	7:00 PM ET	
Thu Oct 16, 2014	Boston	Montréal	7:30 PM ET	NHLN-US,SN360,NESN,RDS
Thu Oct 16, 2014	Colorado	Ottawa	7:30 PM ET	ALT,RDS2,TSN5
Thu Oct 16, 2014	St. Louis	Los Angeles	10:30 PM ET	
Fri Oct 17, 2014	Florida	Buffalo	7:00 PM ET	FS-F
Fri Oct 17, 2014	Calgary	Columbus	7:00 PM ET	SNF,FS-O
Fri Oct 17, 2014	Detroit	Toronto	7:30 PM ET	FS-D,SNO
Fri Oct 17, 2014	Nashville	Winnipeg	8:00 PM ET	TSN3
Fri Oct 17, 2014	Vancouver	Edmonton	9:30 PM ET	SNV,SNOL
Fri Oct 17, 2014	Minnesota	Anaheim	10:00 PM ET	FS-N
Sat Oct 18, 2014	Boston	Buffalo	7:00 PM ET	FX-CA,NESN
Sat Oct 18, 2014	Colorado	Montréal	7:00 PM ET	TVA Sports,CITY,ALT
Sat Oct 18, 2014	Columbus	Ottawa	7:00 PM ET	SN1,FS-O
Sat Oct 18, 2014	Toronto	Detroit	7:00 PM ET	CBC,NHLN-US,FS-D
Sat Oct 18, 2014	San Jose	New Jersey	7:00 PM ET	CSN-CA
Sat Oct 18, 2014	NY Islanders	Pittsburgh	7:00 PM ET	ROOT
Sat Oct 18, 2014	Florida	Washington	7:00 PM ET	FS-F,CSN-DC
Sat Oct 18, 2014	Philadelphia	Dallas	8:00 PM ET	CSN-PH
Sat Oct 18, 2014	Nashville	Chicago	8:30 PM ET	WGN
Sat Oct 18, 2014	St. Louis	Arizona	9:00 PM ET	FS-A
Sat Oct 18, 2014	Tampa Bay	Vancouver	10:00 PM ET	CBC,TVA Sports 2,SUN
Sun Oct 19, 2014	Minnesota	Los Angeles	3:00 PM ET	FS-N
Sun Oct 19, 2014	San Jose	NY Rangers	5:00 PM ET	TVA Sports,CSN-CA
Sun Oct 19, 2014	Calgary	Winnipeg	7:00 PM ET	CITY TV
Sun Oct 19, 2014	St. Louis	Anaheim	8:00 PM ET	
Mon Oct 20, 2014	Tampa Bay	Edmonton	9:30 PM ET	TVA Sports,SUN,SNW
Tue Oct 21, 2014	San Jose	Boston	7:00 PM ET	TVA Sports,CSN-CA,NESN
Tue Oct 21, 2014	NY Rangers	New Jersey	7:00 PM ET	
Tue Oct 21, 2014	Toronto	NY Islanders	7:00 PM ET	TSN4
Tue Oct 21, 2014	Detroit	Montréal	7:30 PM ET	FS-D,RDS,SNE
Tue Oct 21, 2014	Arizona	Nashville	8:00 PM ET	FS-A
Tue Oct 21, 2014	Carolina	Winnipeg	8:00 PM ET	TSN3
Tue Oct 21, 2014	Philadelphia	Chicago	8:30 PM ET	NBCSN,CSN-PH,CSN-CH
Tue Oct 21, 2014	Vancouver	Dallas	8:30 PM ET	SNP
Tue Oct 21, 2014	Florida	Colorado	9:00 PM ET	FS-F,ALT
Tue Oct 21, 2014	Tampa Bay	Calgary	9:00 PM ET	SUN,SNW
Wed Oct 22, 2014	Toronto	Ottawa	7:00 PM ET	TVA Sports,SN360,SN1
Wed Oct 22, 2014	Philadelphia	Pittsburgh	8:00 PM ET	NBCSN,TVA Sports 2
Wed Oct 22, 2014	Washington	Edmonton	9:30 PM ET	SN360,SN1,CSN-DC
Wed Oct 22, 2014	Buffalo	Anaheim	10:30 PM ET	
Thu Oct 23, 2014	NY Islanders	Boston	7:00 PM ET	NESN
Thu Oct 23, 2014	Pittsburgh	Detroit	7:30 PM ET	SN360,TVA Sports 2,ROOT,FS-D
Thu Oct 23, 2014	Vancouver	St. Louis	8:00 PM ET	NHLN-US,SNV
Thu Oct 23, 2014	Chicago	Nashville	8:00 PM ET	CSN-CH
Thu Oct 23, 2014	Arizona	Minnesota	8:00 PM ET	FS-A,FS-N
Thu Oct 23, 2014	Carolina	Calgary	9:00 PM ET	SNF
Thu Oct 23, 2014	Buffalo	Los Angeles	10:30 PM ET	
Thu Oct 23, 2014	Columbus	San Jose	10:30 PM ET	FS-O,CSN-CA
Fri Oct 24, 2014	Dallas	New Jersey	7:00 PM ET	
